Epic,Story,Priority,Effort,Owner,Dependencies,Acceptance Criteria,Links,Risk
Foundation,Apply UUID migration to database,P0,S,Backend Architect,,"Given empty database, When migration runs, Then all tables use UUID PKs with proper indexes",/IMPORTANT/02_issues/ISSUE-0001.md,High
Foundation,Move secrets to environment variables,P0,S,Backend Architect,,"Given hardcoded secrets, When refactored, Then all secrets from .env only",/IMPORTANT/10_canonical/current_state/system_reality.md#L140-150,Critical
Foundation,Implement JWT authentication,P0,M,Backend Architect,UUID migration,"Given unauthenticated API, When auth added, Then all endpoints require valid JWT",/IMPORTANT/02_issues/ISSUE-0005.md,Critical
Foundation,Fix model configuration mismatch,P0,S,Backend Architect,,"Given tinyllama loaded, When config updated, Then backend uses tinyllama not gpt-oss",/IMPORTANT/02_issues/ISSUE-0003.md,High
Foundation,Clean up documentation duplicates,P1,S,System Architect,,"Given 98 files with 66% duplication, When cleaned, Then single canonical location",/IMPORTANT/02_issues/ISSUE-0011.md,Low
Agents,Convert AI Orchestrator stub to functional,P0,L,Backend Architect,Auth implementation,"Given stub returning fake data, When implemented, Then real task orchestration",/IMPORTANT/02_issues/ISSUE-0012.md,High
Agents,Convert Multi-Agent Coordinator to functional,P0,L,Backend Architect,Orchestrator,"Given stub agent, When implemented, Then coordinates multiple agents",/IMPORTANT/02_issues/ISSUE-0012.md,High
Agents,Implement Code Assistant agent,P1,L,Backend Architect,Orchestrator,"Given no code analysis, When implemented, Then reviews code using tinyllama",/IMPORTANT/10_canonical/target_state/mvp_architecture.md#L120-135,Medium
Agents,Implement Documentation Assistant,P1,L,Backend Architect,Vector DB integration,"Given no doc search, When implemented, Then RAG-based Q&A",/IMPORTANT/10_canonical/target_state/mvp_architecture.md#L137-155,Medium
Agents,Fix agent communication protocol,P0,M,System Architect,Message format,"Given no inter-agent comms, When implemented, Then agents exchange messages",Current agent code review,High
Integration,Connect ChromaDB to backend,P1,M,Backend Architect,Doc Assistant,"Given isolated ChromaDB, When integrated, Then documents searchable",/IMPORTANT/02_issues/ISSUE-0006.md,Medium
Integration,Configure Kong API routes,P1,M,System Architect,Auth implementation,"Given unconfigured Kong, When routes added, Then proper API gateway",/IMPORTANT/02_issues/ISSUE-0004.md,Medium
Integration,Implement document upload pipeline,P1,M,Backend Architect,ChromaDB integration,"Given no upload, When implemented, Then docs uploaded and embedded",/IMPORTANT/10_canonical/target_state/mvp_architecture.md#L180-185,Medium
Monitoring,Create agent performance dashboards,P2,S,System Architect,Agents functional,"Given basic metrics, When dashboards created, Then agent performance visible",/IMPORTANT/10_canonical/target_state/mvp_architecture.md#L187-193,Low
Monitoring,Implement error tracking,P1,S,Backend Architect,,"Given silent failures, When tracking added, Then errors logged and alerted",Current error handling review,Medium
Testing,Add integration tests for agents,P1,M,Backend Architect,Agents functional,"Given no tests, When tests added, Then 80% coverage",/IMPORTANT/10_canonical/target_state/mvp_architecture.md#L217,Medium
Testing,Add authentication tests,P0,S,Backend Architect,Auth implementation,"Given auth system, When tests added, Then auth flows verified",Auth implementation,High
Testing,Performance testing setup,P2,M,System Architect,MVP complete,"Given no benchmarks, When tests run, Then performance baselines established",/IMPORTANT/10_canonical/target_state/mvp_architecture.md#L211,Low
Security,Implement rate limiting,P1,S,Backend Architect,Kong configuration,"Given unlimited requests, When limited, Then 60 req/min per user",Kong config,Medium
Security,Add input validation,P0,M,Backend Architect,,"Given raw input, When validation added, Then sanitized input only",Security review,High
Security,Implement RBAC,P2,M,Backend Architect,Auth implementation,"Given no roles, When RBAC added, Then role-based access",Future enhancement,Low
DevOps,Create deployment scripts,P1,M,System Architect,MVP complete,"Given manual deployment, When scripted, Then one-command deploy",Deployment review,Medium
DevOps,Setup CI/CD pipeline,P2,L,System Architect,Testing complete,"Given manual process, When automated, Then PR checks and auto-deploy",GitHub Actions review,Low
DevOps,Implement health checks,P1,S,Backend Architect,,"Given basic health, When enhanced, Then component-level health",Current health endpoints,Medium
Documentation,Update all docs to reflect reality,P1,M,System Architect,MVP complete,"Given fantasy docs, When updated, Then accurate documentation",All documentation review,Medium
Documentation,Create API documentation,P1,M,Backend Architect,API complete,"Given no API docs, When created, Then OpenAPI spec",FastAPI auto-docs,Medium
Documentation,Create user guide,P2,M,Frontend Architect,MVP complete,"Given no user docs, When created, Then end-user guide",Future requirement,Low
